Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
431.5,0.39947,0.42075,0.41113,0.40072,0.42137,0.42697,0.44767
432,0.39615,0.41744,0.4067,0.39734,0.41679,0.42169,0.4444
432.5,0.39209,0.41326,0.40308,0.3934,0.41249,0.41704,0.4414
433,0.38777,0.40853,0.3996,0.38891,0.40878,0.41364,0.43779
433.5,0.38306,0.40409,0.39569,0.38462,0.40558,0.41126,0.43325
434,0.37906,0.4001,0.39087,0.3813,0.402,0.40912,0.42838
434.5,0.37633,0.39611,0.38656,0.37857,0.3976,0.40654,0.42453
435,0.37351,0.39219,0.38315,0.37583,0.39341,0.4027,0.42147
435.5,0.37013,0.38772,0.37963,0.37271,0.38963,0.39855,0.4186
436,0.36642,0.38331,0.37634,0.36933,0.38653,0.39414,0.41523
436.5,0.36251,0.37977,0.37184,0.36607,0.38346,0.39019,0.4108
437,0.35928,0.37675,0.36717,0.36334,0.38007,0.38741,0.40613
437.5,0.35681,0.37324,0.36351,0.36106,0.37642,0.38511,0.40249
438,0.35481,0.36909,0.36079,0.35856,0.37312,0.38283,0.39983
438.5,0.35228,0.36504,0.35865,0.35579,0.3707,0.38081,0.39765
439,0.34931,0.36144,0.35561,0.3527,0.36834,0.37826,0.39516
439.5,0.34631,0.35877,0.35206,0.34977,0.36566,0.37582,0.39189
440,0.34366,0.35655,0.34829,0.34753,0.36272,0.37383,0.38882
440.5,0.34187,0.35388,0.34488,0.3459,0.35956,0.37212,0.38617
441,0.34081,0.35056,0.34249,0.34467,0.3571,0.37063,0.38388
441.5,0.33972,0.34725,0.34039,0.34343,0.35562,0.36878,0.38228
442,0.33828,0.34429,0.3381,0.342,0.35452,0.36679,0.38044
442.5,0.33655,0.34217,0.33546,0.34001,0.35307,0.36426,0.37813
443,0.33496,0.34066,0.33281,0.33816,0.35093,0.36219,0.37567
443.5,0.33417,0.33895,0.33028,0.33657,0.34842,0.3607,0.37342
444,0.33367,0.33702,0.32843,0.33543,0.34635,0.35997,0.37141
444.5,0.33317,0.33471,0.32738,0.33465,0.34502,0.35958,0.37015
445,0.33231,0.33261,0.32607,0.33373,0.3438,0.35899,0.36934
445.5,0.33079,0.33097,0.32448,0.33247,0.34251,0.35792,0.36756
446,0.32958,0.33004,0.32252,0.3309,0.34054,0.35615,0.36559
446.5,0.3289,0.32898,0.3206,0.32944,0.33827,0.35441,0.36324
447,0.32855,0.32747,0.31933,0.32824,0.33666,0.35262,0.36102
447.5,0.32837,0.32544,0.31861,0.32723,0.33527,0.35079,0.35959
